"fips","YearData","govid_14","Name","STATEAB","demshare_fg","demshare_oc","demshare_gh","mayor_party","runnerup_party","mayor_votes","runnerup_votes","mayor_name","runnerup_name","winner_pid","runner1_pid","winnervotes","runner1_votes","winner","runner1","population_est","elec_source","winner_cf_party","runnerup_cf_party","winner_pid_check","runnerup_pid_check","winner_pid_gh","runnerup_pid_gh","elecdate","month","gh_oc","gh_fg","oc_fg","mayor_party_final","pass_mayor","mayor_votes_final","runnerup_party_final","pass_runnerup","runnerup_votes_final","demshare","fail","elec_index","STATE","ID","FIPS_PLACE_ID","JURIS","fog","initiative","partisan","referendum","termlength","termlimits","STATEFIP","mayor_name_final","runnerup_name_final"
1828386,1983,152020003,"GOSHEN CITY","IN",-0.042808799,NA,NA,"R","D",3208,2702,"Max Chiddister","Steven R Chisick",NA,NA,NA,NA,NA,NA,19661,NA,NA,NA,NA,NA,NA,NA,NA,11,NA,NA,NA,"R",-1,3208,"D",-1,2702,0.457191201,NA,2525,"IN",134205,28386,"City of Goshen",1,0,1,0,4,0,18,"max chiddister","steven chisick"
1828386,1987,152020003,"GOSHEN CITY","IN",0.104344194,NA,NA,"D","R",3617,2368,"Mike Puro","Larry M Sarver",NA,NA,NA,NA,NA,NA,21821.5,NA,NA,NA,NA,NA,NA,NA,NA,11,NA,NA,NA,"D",-1,3617,"R",-1,2368,0.604344194,NA,2526,"IN",134205,28386,"City of Goshen",1,0,1,0,4,0,18,"mike puro","larry sarver"
1828386,1991,152020003,"GOSHEN CITY","IN",0.097036766,NA,NA,"D","R",3264,2203,"Mike Puro","Marsha S Meyer",NA,NA,NA,NA,NA,NA,23950.25,NA,NA,NA,NA,NA,NA,NA,NA,11,NA,NA,NA,"D",-1,3264,"R",-1,2203,0.597036766,NA,2527,"IN",134205,28386,"City of Goshen",1,0,1,0,4,0,18,"mike puro","marsha meyer"
1828386,1995,152020003,"GOSHEN CITY","IN",0.038271135,NA,NA,"D","R",2827,2425,"Mike Puro","Myron B Hoke",NA,NA,NA,NA,NA,NA,24670,NA,NA,NA,NA,NA,NA,NA,NA,11,NA,NA,NA,"D",-1,2827,"R",-1,2425,0.538271135,NA,2528,"IN",134205,28386,"City of Goshen",1,0,1,0,4,0,18,"mike puro","myron hoke"
1828386,1999,152020003,"GOSHEN CITY","IN",0.070602314,NA,NA,"D","R",2861,2153,"Allan J. Kauffman","Michael J. Aust",NA,NA,NA,NA,NA,NA,27322.5,NA,NA,NA,NA,NA,NA,NA,NA,11,NA,NA,NA,"D",-1,2861,"R",-1,2153,0.570602314,NA,2529,"IN",134205,28386,"City of Goshen",1,0,1,0,4,0,18,"allan kauffman","michael aust"
1828386,2003,NA,NA,NA,0.061667758,NA,NA,"D","R",2573,2008,"Allan J. Kauffman","Thomas W. Stump",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11,NA,NA,NA,"D",-1,2573,"R",-1,2008,0.561667758,NA,9372,"IN",134205,28386,"City of Goshen",1,0,1,0,4,0,18,"allan kauffman","thomas stump"
1829376,1999,NA,NA,NA,0.135103926,NA,NA,"D","R",1100,632,"Nancy A. Michael","Susannah H. Perry",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"D",-1,1100,"R",-1,632,0.635103926,NA,8528,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"nancy michael","susannah perry"
1829376,2003,NA,NA,NA,0.058185404,NA,NA,"D","R",1132,896,"Nancy Michael","Thelma Bumgardner",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"D",-1,1132,"R",-1,896,0.558185404,NA,9357,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"nancy michael","thelma bumgardner"
1829448,1999,NA,NA,NA,0.075487013,NA,NA,"D","R",709,523,"Douglas S. Hedrick","Lloyd E. Trennepohl",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"D",-1,709,"R",-1,523,0.575487013,NA,8675,"IN",187971,29448,"Town of Greendale",2,1,1,1,1,0,18,"douglas hedrick","lloyd trennepohl"
1829448,2003,NA,NA,NA,0.127760252,NA,NA,"D","R",796,472,"Doug Hedrick","Harlan Holt Hoffman",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"D",-1,796,"R",-1,472,0.627760252,NA,9259,"IN",187971,29448,"Town of Greendale",1,1,1,1,4,0,18,"doug hedrick","harlan holt hoffman"
